IIS3DWB 3-axis accelerometer by STM32
Configuration: FIFO continuous mode WTM = 20 Sensibility = +-4g
Timestamp resolution = 12.5us/LSB accel resolution 0.122mg/LSB

Timestamp(us) accelX(mg) accelY(mg) accelZ(mg)
76820.03896 300 -595 7849 
76974.90916 410 -814 7910 
77129.77935 470 -529 7693 
77284.64955 402 -858 7940 
77439.51974 402 -744 7921 
77594.38994 496 -721 7974 
77749.26013 639 -714 7678 
77904.13033 368 -751 7822 
78059.00053 553 -596 7922 
78213.87072 368 -806 7842 
78368.74092 545 -703 7925 
78523.61111 368 -766 7868 
78678.48131 481 -643 7860 
78833.3515 523 -647 8096 
78988.2217 402 -744 7921 
79143.0919 334 -684 7784 
79297.96209 428 -758 7925 
79452.83229 545 -581 7705 
79607.70248 481 -751 8008 
79762.57268 466 -769 7906 
79917.44287 519 -728 7868 
80072.31307 598 -710 7853 
80227.18327 447 -717 8016 
80382.05346 504 -725 8005 
80536.92366 421 -669 7800 
80691.79385 481 -817 7823 
80846.66405 421 -677 7968 
81001.53424 545 -728 7831 
81156.40444 432 -751 7816 
81311.27464 451 -773 7937 
81466.14483 508 -740 7884 
81621.01503 387 -769 7850 
81775.88522 586 -654 7861 
81930.75542 541 -662 7880 
82085.62561 515 -673 7790 
82240.49581 544 -777 7816 
82395.36601 439 -784 7918 
82550.2362 420 -695 7793 
82705.1064 650 -718 7926 
82859.97659 254 -873 7900 
83014.84679 627 -495 7683 
83169.71698 367 -888 7884 
83324.58718 556 -703 7865 
83479.45738 318 -788 8032 
83634.32757 515 -673 7790 
83789.19777 474 -695 7858 
83944.06796 583 -673 7930 
84098.93816 508 -792 7763 
84253.80835 451 -814 7911 
84408.67855 605 -703 7884 
84563.54875 417 -784 7869 
84718.41894 564 -755 7903 
84873.28914 560 -684 7884 
85028.15933 466 -758 8009 
85183.02953 515 -673 7790 
85337.89972 533 -706 7945 
85492.76992 424 -692 7763 
85647.64012 412 -725 7998 
85802.51031 616 -521 7709 
85957.38051 416 -799 7918 
86112.2507 375 -669 7816 
86267.1209 408 -710 7831 
86421.99109 469 -728 7854 
86576.86129 499 -651 7934 
86731.73149 515 -673 7790 
86886.60168 319 -658 7884 
87041.47188 296 -799 7975 
87196.34207 602 -551 7679 
87351.21227 530 -810 7842 
87506.08246 466 -621 7876 
87660.95266 485 -784 7858 
87815.82286 477 -647 7694 
87970.69305 444 -747 7820 
88125.56325 628 -577 7713 
88280.43344 323 -806 7800 
88435.30364 495 -658 7770 
88590.17383 394 -732 7930 
88745.04403 506 -710 7804 
88899.91423 360 -995 8078 
89054.78442 616 -729 7907 
